species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,id
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,1153
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,1978
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,1861
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,1733
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,1348
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,1248
Gentoo,Biscoe,50.8,17.3,228.0,5600.0,Male,1940
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,1586
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,1247
Gentoo,Biscoe,50.1,15.0,225.0,5000.0,Male,1248
Gentoo,Biscoe,40.9,13.7,214.0,4650.0,Female,1565
Gentoo,Biscoe,49.0,16.1,216.0,5550.0,Male,1271
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1426
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,1609
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,1849
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,1319
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,1021
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,1441
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,1128
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,1629
Adelie,Biscoe,36.4,17.1,184.0,2.85,Female,1370
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,1060
Gentoo,Biscoe,50.4,15.3,224.0,5550.0,Male,1102
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,1573
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1168
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,1906
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,1907
Gentoo,Biscoe,46.9,14.6,222.0,4875.0,Female,1519
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,1336
Chinstrap,Dream,55.8,19.8,207.0,4000.0,Male,1679
Gentoo,Biscoe,45.8,14.2,219.0,4700.0,Female,1073
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,1510
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,1370
Gentoo,Biscoe,47.2,13.7,214.0,4925.0,Female,1806
Gentoo,Biscoe,42.0,13.5,210.0,4150.0,Female,1605
Gentoo,Biscoe,44.5,14.3,216.0,4100.0,,1059
Gentoo,Biscoe,46.1,15.1,215.0,5100.0,Male,1573
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1585
Chinstrap,Dream,45.6,19.4,194.0,3525.0,Female,1699
Gentoo,Biscoe,46.2,14.4,214.0,4650.0,,1489
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,1963
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,1514
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,1568
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,1537
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,1098
Gentoo,Biscoe,42.6,13.7,213.0,4950.0,Female,1982
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,1386
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,1559
Chinstrap,Dream,43.5,18.1,202.0,3400.0,Female,1691
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,1732
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,1706
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,1089
Gentoo,Biscoe,50.0,16.3,230.0,5.7,Male,1264
Gentoo,Biscoe,48.4,14.6,213.0,5850.0,Male,1155
Gentoo,Biscoe,45.8,14.6,210.0,4200.0,Female,1732
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,1062
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,1638
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1541
Gentoo,Biscoe,44.0,13.6,208.0,4350.0,Female,1426
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,1875
Gentoo,Biscoe,44.4,17.3,219.0,5.25,Male,1047
Gentoo,Biscoe,43.3,13.4,209.0,4.4,Female,1116
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,1774
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,1250
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1331
Gentoo,Biscoe,52.1,17.0,230.0,5.55,Male,1207
Gentoo,Biscoe,48.4,14.4,203.0,4625.0,Female,1423
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1449
Gentoo,Biscoe,48.5,15.0,219.0,4.85,Female,1122
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,1719
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,1585
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,1199
Chinstrap,Dream,47.5,16.8,199.0,3.9,Female,1241
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,1479
Gentoo,Biscoe,49.8,16.8,230.0,5700.0,Male,1421
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,1910
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,1682
Chinstrap,Dream,42.4,17.3,181.0,3.6,Female,1368
Adelie,Dream,36.0,17.9,190.0,3.45,Female,1774
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,1649
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,1386
Gentoo,Biscoe,45.2,14.8,212.0,5200.0,Female,1628
Gentoo,Biscoe,46.5,13.5,210.0,4550.0,Female,1875
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,1071
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1842
Gentoo,Biscoe,49.1,15.0,228.0,5500.0,Male,1360
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1930
Adelie,Torgersen,39.7,18.4,190.0,3.9,Male,1406
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,1583
Gentoo,Biscoe,47.3,15.3,222.0,5250.0,Male,1027
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,1201
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,1413
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,1517
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,1758
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,1666
Gentoo,Biscoe,47.5,14.0,212.0,4875.0,Female,1907
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,1250
Gentoo,Biscoe,48.7,15.7,208.0,5350.0,Male,1244
Adelie,Biscoe,35.0,17.9,192.0,3.725,Female,1274
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,1469
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,1034
Gentoo,Biscoe,,,,,,1011
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,1801
Adelie,Dream,37.5,18.9,179.0,2975.0,,1522
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,1836
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,1466
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,1600
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,1952
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,1328
Adelie,Torgersen,,,,,,1075
Gentoo,Biscoe,46.5,14.8,217.0,5200.0,Female,1096
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,1980
Chinstrap,Dream,50.2,18.8,202.0,3800.0,Male,1079
Gentoo,Biscoe,43.5,14.2,220.0,4700.0,Female,1911
Gentoo,Biscoe,45.5,13.9,210.0,4200.0,Female,1118
Chinstrap,Dream,50.2,18.7,198.0,3775.0,Female,1515
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,1367
Adelie,Torgersen,34.1,18.1,193.0,3475.0,,1989
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,1792
Gentoo,Biscoe,45.5,14.5,212.0,4750.0,Female,1391
Gentoo,Biscoe,49.4,15.8,216.0,4925.0,Male,1147
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,1112
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,1098
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,1958
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,1574
Gentoo,Biscoe,49.1,14.5,212.0,4625.0,Female,1536
Gentoo,Biscoe,51.1,16.5,225.0,5250.0,Male,1412
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,1842
Gentoo,Biscoe,50.0,16.3,230.0,5700.0,Male,1264
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1030
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,1345
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,1091
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,1935
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,1178
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,1204
Gentoo,Biscoe,49.6,15.0,216.0,4750.0,Male,1813
Gentoo,Biscoe,49.9,16.1,213.0,5400.0,Male,1619
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,1166
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,1241
Gentoo,Biscoe,43.6,13.9,217.0,4900.0,Female,1859
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,1726
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,1539
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,1441
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,1168
Gentoo,Biscoe,44.9,13.8,212.0,4750.0,Female,1957
Gentoo,Biscoe,49.1,14.8,220.0,5150.0,Female,1645
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,1170
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,1600
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,1537
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,1351
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,1674
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,1713
Gentoo,Biscoe,47.4,14.6,212.0,4725.0,Female,1021
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,1491
Gentoo,Biscoe,43.3,14.0,208.0,4575.0,Female,1882
Gentoo,Biscoe,44.9,13.3,213.0,5100.0,Female,1344
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,1305
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,1033
Gentoo,Biscoe,45.2,15.8,215.0,5300.0,Male,1695
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,1542
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,1620
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,1389
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,1172
Gentoo,Biscoe,46.1,15.1,215.0,5.1,Male,1573
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,1705
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,1154
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,1930
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,1921
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,1402
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1259
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,1030
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,1058
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,1019
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,1696
Adelie,Dream,37.8,18.1,193.0,3.75,Male,1629
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1041
Adelie,Dream,37.6,19.3,181.0,3.3,Female,1647
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,1945
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,1750
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,1888
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1867
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,1576
Gentoo,Biscoe,52.5,15.6,221.0,5450.0,Male,1039
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,1041
Gentoo,Biscoe,48.8,16.2,222.0,6000.0,Male,1433
Gentoo,Biscoe,52.2,17.1,228.0,5400.0,Male,1893
Gentoo,Biscoe,45.0,15.4,220.0,5050.0,Male,1257
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,1574
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,1308
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,1750
Gentoo,Biscoe,49.6,15.0,216.0,4.75,Male,1813
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,1396
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,1384
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,1508
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,1402
Adelie,Biscoe,38.1,17.0,181.0,3.175,Female,1384
Gentoo,Biscoe,50.5,15.2,216.0,5000.0,Female,1539
Gentoo,Biscoe,51.1,16.3,220.0,6.0,Male,1158
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,1694
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,1377
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,1180
Chinstrap,Dream,49.3,19.9,203.0,4050.0,Male,1199
Gentoo,Biscoe,48.2,14.3,210.0,4600.0,Female,1294
Gentoo,Biscoe,47.7,15.0,216.0,4750.0,Female,1861
Gentoo,Biscoe,46.6,14.2,210.0,4850.0,Female,1166
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,1291
Gentoo,Biscoe,49.3,15.7,217.0,5.85,Male,1422
Gentoo,Biscoe,44.4,17.3,219.0,5250.0,Male,1047
Gentoo,Biscoe,45.4,14.6,211.0,4800.0,Female,1321
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,1569
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,1586
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,1338
Gentoo,Biscoe,45.2,16.4,223.0,5950.0,Male,1100
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,1162
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,1705
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,1499
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,1507
Gentoo,Biscoe,46.2,14.1,217.0,4375.0,Female,1178
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,1746
Gentoo,Biscoe,46.4,15.0,216.0,4700.0,Female,1316
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,1860
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,1740
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,1445
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,1415
Gentoo,Biscoe,50.5,15.9,225.0,5400.0,Male,1328
Gentoo,Biscoe,47.6,14.5,215.0,5400.0,Male,1844
Gentoo,Biscoe,46.8,14.3,215.0,4850.0,Female,1888
Adelie,Torgersen,37.8,17.1,186.0,3300.0,,1980
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,1211
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,1923
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,1488
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,1706
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,1562
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,1370
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,1826
Gentoo,Biscoe,54.3,15.7,231.0,5650.0,Male,1107
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,1406
Gentoo,Biscoe,49.5,16.2,229.0,5800.0,Male,1927
Gentoo,Biscoe,51.3,14.2,218.0,5300.0,Male,1479
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,1690
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,1936
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,1378
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,1170
Gentoo,Biscoe,50.2,14.3,218.0,5700.0,Male,1451
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,1180
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,1549
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1689
Gentoo,Biscoe,50.5,15.9,222.0,5550.0,Male,1172
Gentoo,Biscoe,53.4,15.8,219.0,5500.0,Male,1583
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,1295
Adelie,Torgersen,42.0,20.2,190.0,4250.0,,1300
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,1689
Chinstrap,Dream,51.9,19.5,206.0,3950.0,Male,1808
Gentoo,Biscoe,44.5,15.7,217.0,4875.0,,1794
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,1758
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,1923
Chinstrap,Dream,46.7,17.9,195.0,3.3,Female,1696
Gentoo,Biscoe,45.2,13.8,215.0,4750.0,Female,1399
Gentoo,Biscoe,50.0,15.2,218.0,5700.0,Male,1266
Gentoo,Biscoe,49.3,15.7,217.0,5850.0,Male,1422
Gentoo,Biscoe,48.1,15.1,209.0,5500.0,Male,1514
Gentoo,Biscoe,42.7,13.7,208.0,3950.0,Female,1019
Gentoo,Biscoe,46.1,13.2,211.0,4500.0,Female,1439
Gentoo,Biscoe,43.5,15.2,213.0,4650.0,Female,1324
Gentoo,Biscoe,45.1,14.5,207.0,5050.0,Female,1469
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,1319
Gentoo,Biscoe,55.1,16.0,230.0,5850.0,Male,1549
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,1879
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,1292
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,1258
Gentoo,Biscoe,46.5,14.4,217.0,4900.0,Female,1792
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,1981
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1246
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,1401
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,1193
Chinstrap,Dream,49.6,18.2,193.0,3775.0,Male,1779
Chinstrap,Dream,43.5,18.1,202.0,3.4,Female,1691
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,1367
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,1867
Gentoo,Biscoe,47.5,14.2,209.0,4600.0,Female,1759
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,1946
Chinstrap,Dream,45.2,16.6,191.0,3250.0,Female,1042
Gentoo,Biscoe,43.8,13.9,208.0,4300.0,Female,1308
Gentoo,Biscoe,45.1,14.5,215.0,5000.0,Female,1894
Chinstrap,Dream,45.7,17.0,195.0,3650.0,Female,1162
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,1876
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,1644
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,1368
Gentoo,Biscoe,50.8,15.7,226.0,5200.0,Male,1396
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,1647
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,1259
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,1307
Gentoo,Biscoe,46.4,15.6,221.0,5000.0,Male,1295
Gentoo,Biscoe,50.7,15.0,223.0,5550.0,Male,1037
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,1804
Gentoo,Biscoe,59.6,17.0,230.0,6050.0,Male,1004
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,1680
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,1246
Gentoo,Biscoe,48.7,14.1,210.0,4450.0,Female,1998
Adelie,Dream,40.8,18.9,208.0,4.3,Male,1562
Gentoo,Biscoe,46.8,15.4,215.0,5150.0,Male,1590
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,1392
Gentoo,Biscoe,48.5,14.1,220.0,5300.0,Male,1255
Adelie,Dream,38.3,19.2,189.0,3.95,Male,1080
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,1049
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,1449
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,1409
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,1668
Gentoo,Biscoe,,,,,,1011
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,1525
Gentoo,Biscoe,46.7,15.3,219.0,5200.0,Male,1644
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,1224
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,1660
Gentoo,Biscoe,41.7,14.7,210.0,4700.0,Female,1818
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,1807
Gentoo,Biscoe,48.7,15.1,222.0,5350.0,Male,1280
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,1523
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,1630
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,1222
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,1065
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,1969
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,1331
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,1151
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,1008
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,1541
